job_title,company,location
Marketing Analyst (Summer Contract),Baker Tilly Canada,"Windsor, ON"
"Senior Treasury Analyst (Virtual, Canada)",SIRVA,"Remote in Mississauga, ON"
IT Business Analyst,Spark Power,"Oakville, ON"
IT (information technology) business analyst,KDigitalLabs INC,"Toronto, ON"
"Senior Data Analyst, Investment Finance & Valuations",OMERS,"Toronto, ON"
Operations Business Analyst,Dawn InfoTek Inc.,"Hybrid work in Toronto, ON"
"Senior Business Systems Analyst, Workday",The Salvation Army Canada and Bermuda,"Toronto, ON"
Variable Data Programmer - Analyst,Formost mediaOne,"Brampton, ON"
Senior Gaming Business Data Analyst,BlazeSoft,"Concord, ON"
database analyst,ED Tech Solutions Inc.,"Surrey, BC"
artificial intelligence (AI) analyst,Airy3D Inc.,"Montréal, QC"
business data analyst,FRIENDS FREIGHTLINES INC,"Brampton, ON"
Corporate Asset Management Analyst,City of Kingston,"Kingston, ON"
Senior Data and Business Intelligence Engineer,Colliers,"Toronto, ON"
Scrum Master/Business Analyst,GHD,"Toronto, ON"
Business Analyst,InSync,"Calgary, AB"
Technical Analyst - IT Fire Systems (Business Analyst 2),City of Burnaby,"Burnaby, BC"
Business Analyst (12 Month Contract),Flinks,"Remote in Toronto, ON"
Business Insights Analyst,Syngenta Crop Protection,"Calgary, AB"
"Analyst, Merchant Pricing",Amex,"Toronto, ON"
Pavement Analyst - Infrastructure Management & Pavement Engineering,Stantec,"Waterloo, ON"
big data analyst,Mehome Real Estate Services Inc.,"Richmond, BC"
Supply Chain Analyst,Cavendish Farms,"Hybrid work in Dieppe, NB"
Application/Infrastructure Support Analyst - DCIM,Royal Bank of Canada,"Toronto, ON"
information systems business analyst,Emerald Financial,"Beaumont, AB"
Business Process Analyst,Canada Computers Inc.,"Richmond Hill, ON"
"Category Analyst, Consumables",Pet Valu,"Markham, ON"
Sr. Business Systems Analyst,La-Z-Boy,"Hybrid work in Headquarters, BC"
data analyst - informatics and systems,Colours of Punjabi Event Organization Inc.,"Surrey, BC"
Fall 2024 Co-op: Resource Management Analyst (8 Months),CGI,"Toronto, ON"
Upcoming: Murex Back Office Business Analyst,Bounteous,Canada
"Remote Bilingual Fraud Analyst, Contact Center (French/English)",Banque de Montréal,"Remote in Quebec City, QC"
Compensation Analyst - 1 year contract,"Raymond James Financial, Inc.","Toronto, ON"
Business System Analyst,APITable Ltd.,"Hybrid work in Markham, ON"
Business Analyst,Cargojet Airways LTD.,"Mississauga, ON"
Business Systems Analyst & Coordinator,University of Toronto,"Toronto, ON"
Sr eCommerce Analyst - Eway.ca,Staples,"Mississauga, ON"
"Analyst, Consulting - Performance Improvement & Operational Excellence (May or September 2025 Start Date)",mnp,"Toronto, ON"
Senior Business Analyst,Macadamian,"Remote in Gatineau, QC"
"Project Controls Analyst / Reporting Analyst - Metrolinx, Ontario Line",Bantrel,"Toronto, ON"
Analyst Compensation,Purolator,"Mississauga, ON"
business data analyst,Sodales Solutions Inc,"Toronto, ON"
Oncology Clinical Informatics Analyst,Southlake Regional Health Centre,"Newmarket, ON"
"Senior Analyst, Digital Solutions",Canadian Institute for Health Information,"Toronto, ON"
Capgemini Invent - SQL Server / Azure Data Analyst,Capgemini,"Vancouver, BC"
Senior Digital Analyst,Saje Natural Wellness,"Vancouver, BC"
business systems analyst,KIDS VALLEY DAYCARE & OSC,"Leduc, AB"
"2024 Fall - GRM, Risk Analyst - Portfolio Risk Oversight Intern (4 Months)",Royal Bank of Canada,"Toronto, ON"
Business Analyst - Senior,Atlantis IT group,"Hybrid work in Toronto, ON"
Senior Business Analyst,Royal Bank of Canada,"Toronto, ON"
Business System Analyst,Atlantis IT group,"Toronto, ON"
Fraud and Risk Analyst,BlazeSoft,"Concord, ON"
IT (information technology) business analyst,Marshall IT Services Ltd.,"Calgary, AB"
Senior Systems/Data Analyst,Mackenzie Financial Corporation,"Hybrid work in Toronto, ON"
Pendo Analyst,Caret,"Remote in Toronto, ON"
Data Analyst (Level 3),Intero Integrity,"Toronto, ON"
Head of Data Analytics and Business Intelligence North America,ZEISS Group,"Hybrid work in Toronto, ON"
Production Control Analyst,ABC Technologies,"Windsor, ON"
Distribution & Geospatial Intelligence Analyst Intern/Co-op (FALL 2024),TD Bank,"Toronto, ON"
Inventory Data Analyst,Bombardier,"Dorval, QC"
"2024 Fall - GRM, Risk Analyst - Portfolio Risk Oversight Intern (4 Months)",Royal Bank of Canada,"Toronto, ON"
Business Analyst - Senior,Atlantis IT group,"Hybrid work in Toronto, ON"
Senior Business Analyst,Royal Bank of Canada,"Toronto, ON"
Business System Analyst,Atlantis IT group,"Toronto, ON"
Fraud and Risk Analyst,BlazeSoft,"Concord, ON"
IT (information technology) business analyst,Marshall IT Services Ltd.,"Calgary, AB"
Senior Systems/Data Analyst,Mackenzie Financial Corporation,"Hybrid work in Toronto, ON"
Pendo Analyst,Caret,"Remote in Toronto, ON"
Head of Data Analytics and Business Intelligence North America,ZEISS Group,"Hybrid work in Toronto, ON"
Inventory Data Analyst,Bombardier,"Dorval, QC"
Production Control Analyst,ABC Technologies,"Windsor, ON"
Distribution & Geospatial Intelligence Analyst Intern/Co-op (FALL 2024),TD Bank,"Toronto, ON"
Revenue Operations Analyst / Data Specialist - FS323,Fresche Solutions,"Montréal, QC"
ERP Business System Analyst,ATS Corporation,"Cambridge, ON"
Business Systems Analyst,Lordco Parts Ltd.,"Port Coquitlam, BC"
Senior IT Business Analyst,Masco Canada,"St. Thomas, ON"
"Senior Analyst, Trade Desk Support",BMO Financial Group,"Toronto, ON"
Business System Analyst with Payments and Payplus experience 10+Year,epsilonsolutions,"Toronto, ON"
"Senior Analyst, Business & Customer Insights",Loblaw Companies Limited,"Brampton, ON"
Supply Chain Sr Analyst,McCain Foods (Canada),"Toronto, ON"
Principal Analyst,Office of the Superintendent of Financial...,"Toronto, ON"
Staff Data Analyst (Product Analytics),Match Group,"Hybrid work in Vancouver, BC"
"Business Analyst, Product Support",CI Financial,"Hybrid work in Toronto, ON"
"Senior Analyst, Data & Analytics - Data Technical Lead",Air Canada,"Dorval, QC"
"Strategy & Operations Analyst, Capital IQ Solutions",S&P Global,"Toronto, ON"
Loss Prevention Fraud Analyst,TJX Canada,"Mississauga, ON"
"Technical Business Analyst, Capital Markets Technology, eFX",Scotiabank,"Toronto, ON"
Upcoming: Murex Front Office Business Analyst,Bounteous,Canada
Expert Data Warehouse / Data Engineer / Data Analyst (m/w/d),THIMM Group GmbH + Co. KG,"Engineer, BC"
Business System Analyst -Regulatory reporting,CGI,"Hybrid work in Toronto, ON"
IT Business Analyst,Nortera,"Brossard, QC"
"Supply Chain Compliance Analyst, Co-Op",Loblaw Companies Limited,"Hybrid work in Brampton, ON"
Business Analyst - Senior,Arthur Grand Technologies Inc,"Guelph, ON"
System Integration Analyst,MetaFactor,"Calgary, AB"
Sales Reporting Analyst (hybrid),Questrade Financial Group,"Toronto, ON"
"Senior Analyst/Manager, Risk Management",Crypto.com,Remote
business systems analyst,Pragra Incorporated,"Brampton, ON"
Business Analyst (Derivatives),Atlantis IT group,"Toronto, ON"
HRIS Analyst,EMCO Corporation,"London, ON"
"Business Analyst, Sales & Operations",Intelligent Fabric Technologies (North America),"Hybrid work in Unionville, ON"
"Senior Manager, Business Intelligence & Analytics",Xplore Inc.,"Markham, ON"
IT (information technology) business analyst,ACCELARIS GROUP INC,"Mississauga, ON"
data analyst - informatics and systems,Snaplii Inc.,"Mississauga, ON"
Project Business Analyst (ERP),City of Burnaby,"Burnaby, BC"
Senior Business Analyst - Digital Performance,National Bank of Canada,"Hybrid work in Montréal, QC"
"Senior Manager, Business Intelligence & Analytics",Xplore Inc.,"Markham, ON"
IT (information technology) business analyst,ACCELARIS GROUP INC,"Mississauga, ON"
Senior Business Analyst - Digital Performance,National Bank of Canada,"Hybrid work in Montréal, QC"
data analyst - informatics and systems,Snaplii Inc.,"Mississauga, ON"
Project Business Analyst (ERP),City of Burnaby,"Burnaby, BC"
Business Analyst,PixMob,"Montréal, QC"
Change Management Analyst,Score Media and Gaming Inc.,"Remote in Toronto, ON"
Implementation Services Analyst - T2200-29-P,GS1 Canada,"Hybrid work in North York, ON"
Ingenium Software Business Analyst,DXC Technology,Ontario
"Business Analyst, Trading Platform",OMERS,"Hybrid work in Toronto, ON"
Python Data Analyst,TV2 Consulting,"Hybrid work in Toronto, ON"
MONTREAL [HYBRIDE] - Application Support Analyst (intermediate),Quanteam North America,"Hybrid work in Montréal, QC"
Investment Analyst (Real Estate),Boardwalk,"Calgary, AB"
Sr. Business Information Analyst,Sagen,"Oakville, ON"
Senior Business Systems Analyst,Northbridge Financial Corporation,"Toronto, ON"
"202404-3113 - Director, Finance and Business Intelligence",Workplace Safety & Prevention Services,Remote
Master Data Management Analyst,Metrie,"Hybrid work in Vancouver, BC"
Jr. Global Sourcing Analyst,Trojan Technologies,"London, ON"
Senior Business Intelligence Engineer - EA FC (Temporary Full Time),Electronic Arts,"Vancouver, BC"
Global Data Analyst,Dentons,Remote
"Analyst, Revenue Management and Pricing",Advantage Group International,"Hybrid work in Toronto, ON"
Operations Analyst,Intelcom,"Montréal, QC"
database analyst,Monterra Projects Ltd.,"Courtenay, BC"
"Engineering Analyst (Hybrid: Toronto, ON) - Hybrid",Enbridge Contingent Talent Community,"Hybrid work in North York, ON"
"Doctor Preference Card (DPC) Clerk/Inventory Analyst, Operating Room - Ridge Meadows Hospital (RMH)",Fraser Health,"Maple Ridge, BC"
Head of Business Intelligence,Accentio Group,"Toronto, ON"
business systems analyst,Zortech Solutions Inc.,"Mississauga, ON"
Airports Procurement & BI Specialist (12-Month Contract),Sunwing Vacations Group,"Hybrid work in Toronto, ON"
Business Analyst,amaris,"Vancouver, BC"
Analyste de données / Data Analyst,Genetec,"Hybrid work in Montréal, QC"
Evaluation Survey Coordinator & Data Analyst (12-Month Mat leave coverage),Mitacs,"Remote in Ottawa, ON"
Senior Revenue Operations Analyst - Toronto (hybrid work),Rewind Software,"Hybrid work in Toronto, ON"
Senior RevOps Analyst,Caseware,"Hybrid work in Toronto, ON"
Senior Business Analyst (Asset & Liability Management) - (Hybrid - Toronto),CAPCO,"Toronto, ON"
Performance and Analytics Analyst,Northumberland Hills Hospital,"Cobourg, ON"
Pricing/ Business Analyst,Midland Transport,"Hybrid work in Dieppe, NB"
Engineering Analyst- Supply Chain,Best Buy,"Langley, BC"
"analyst, computer systems",Podium Catchers Consultant Inc.,"Vancouver, BC"
Programmer Analyst - Intern,IAMGOLD,"Brossard, QC"
Board Certified Behaviour Analyst (BCBA),Roots & Tales Clinic,"Richmond Hill, ON"
Risk Management & Business Reporting Analyst,AtkinsRéalis,"Mississauga, ON"
Senior Actuarial Analyst,LifeWorks,"Halifax, NS"
Technical Business Analyst,VERB Interactive,"Remote in Halifax, NS"
Supply Chain Analyst,ITN Food Corporation,"Vaughan, ON"
Scientific analyst programmer inventory (IT-02 / IT-03),Environment and Climate Change Canada,"Dorval, QC"
Analyste d'affaires - Master Data ( Contrat 12 mois) / Master Data Business Analyst ( 12 month contract),McKesson,"Saint-Laurent, QC"
Senior Business Analyst (Halifax),Mariner Innovations,"Halifax, NS"
database analyst,KP Technologies Ltd.,"Calgary, AB"
"Analyst, Privacy & Data Protection",EspaceProprio,"Hybrid work in Montréal, QC"
SR CATEGORY ANALYST,CROSSMARK,"Hybrid work in Mississauga, ON"
Trust Business Intelligence Lead,Autodesk,"Toronto, ON"
database analyst,WS & Company Ltd.,"Scarborough, ON"
Supply Chain Replenishment Analyst,Loblaw Companies Limited,"Cambridge, ON"
"Business Analyst, Sales",Joseph Ribkoff,"Montréal, QC"
marketing analyst,Mediafy Digital Ltd.,"Vancouver, BC"
database analyst,Rebellion Logistics Inc.,"Dartmouth, NS"
Principal Bioinformatics Analyst - REMOTE,Revvity,Remote in Ontario
database analyst,Avari Wireless Corporation,"Burnaby, BC"
Senior Business Intelligence Developer,fgf brands,"Greater Toronto Area, ON"
Senior Health and Benefits Analyst,WTW,"Calgary, AB"
HRIS ANALYST,MSC - Mediterranean Shipping Company,"Montréal, QC"
Procurement Analyst,ETN,"Montréal, QC"
Sr. Business Intelligence Developer,LG Electronics Canada,"Toronto, ON"
"Sales Analyst - Personal Health (Hybrid, Ontario)",Philips,"Mississauga, ON"
Senior Business Analyst (6 Month Contract),Blanc Labs,"Hybrid work in Toronto, ON"
Business Solutions and Operations Analyst,BGIS,"Vancouver, BC"
Platform and Process Analyst,GardaWorld,"Montréal, QC"
Senior Revenue Operations Analyst - New Business Territory Management,1Password,Remote
business systems analyst,QUANTAM SOFTWARE APPLICATION SERVICES LTD.,"Calgary, AB"
Electronic Data Interchange (EDI) Analyst,Nature's Path Foods,"Richmond, BC"
Asset Investment Analyst,Toronto Hydro,"Hybrid work in Toronto, ON"
Vibration Analyst (Canada),AP Dynamics,"Calgary, AB"
database analyst,ACE COMPUTER DESIGNS LTD.,"Calgary, AB"
Senior IMatch Operations Support Analyst,BMO Financial Group,"Toronto, ON"
HRIS Analyst,PRICE INDUSTRIES LIMITED,"Winnipeg, MB"
PMO Analyst,Jolera Inc.,"Toronto, ON"
Actuarial Analyst,AIG,"Toronto, ON"
Supply Chain Analyst,Sonora Foods Ltd,"Brampton, ON"
Strategic Customer Analyst,Irving Consumer Products,"Toronto, ON"
Business Analyst Capital Market,Atlantis IT group,"Toronto, ON"
Accounts Receivable Cash Application Analyst,EMCO Corporation,"London, ON"
Business Analyst,RST Industries,"Saint John, NB"
"Payroll Analyst, Payroll Implementation",Magna International Inc.,"Aurora, ON"
Power BI Developer 7226-1510,Foilcon,"Toronto, ON"
"Client Solutions Analyst, Digital Marketing",Kepler Group,"Toronto, ON"
"Lead, Quality Assurance Analyst",CGI,"Vancouver, BC"
Parts Inventory Analyst,TCAT Div of Toromont Industries Ltd,"Concord, ON"
"Senior Cyber Security Analyst, EIAM Onboarding",Royal Bank of Canada,"Toronto, ON"
Retail Merchandising and Inventory Analyst,Lindt & Sprungli,"Toronto, ON"
Market Research Analyst,Fidelity Investments,"Toronto, ON"
Senior Systems/Data Analyst,IG Wealth Management,"Hybrid work in Winnipeg, MB"
Treasury Analyst,Caseware,"Hybrid work in Toronto, ON"
"Manager, Business Intelligence, Retail Banner Group",McKesson,"Mississauga, ON"
"Senior Data Analyst, Data Management IT",Doctors of BC,"Vancouver, BC"
Field Engineering Support (Reliability Analyst),ALSTOM,"Toronto, ON"
Research Analyst,University of Toronto,"Toronto, ON"
Senior Technical Data Analyst,System1,"Hybrid work in Guelph, ON"
"Business Analyst, Contract Management/System Optimization",Fraser Health,"Hybrid work in Surrey, BC"
Compliance Analyst,Irving Business Services,"Saint John, NB"
database analyst,Infinity Wealth Solutions Inc.,"Hannon, ON"
business systems analyst,Ktaria's Management INC.,"Mississauga, ON"
Risk Analyst,Canadian Nuclear Laboratories,"Whiteshell, MB"
Programmer Analyst,Pollard Banknote Limited,"Winnipeg, MB"
"Analyst, Operations Asset Management","Connor, Clark & Lunn Financial Group","Toronto, ON"
Global Benefits Claims Analyst,Aon Corporation,"Montréal, QC"
Payments Business Analyst,Lightspeed,"Montréal, QC"
Technical Analyst,Sapiens,"Toronto, ON"
JDE Business Analyst,Communications and Power Ind. Canada Inc,"Georgetown, ON"
Business Analyst,Umbra,"Scarborough, ON"
business systems analyst,DEROLA TECHNOLOGIES,"Edmonton, AB"
systems analyst,Helios Retail Consulting Limited,"Oakville, ON"
Business Analyst,Net Solutions India,"Toronto, ON"
artificial intelligence (AI) analyst,Cansight Technology Corporation,"Victoria, BC"
"Business Analyst, Private Markets (Infrastructure and Private Equity)",OMERS,"Hybrid work in Toronto, ON"
Executive Compensation Analyst,Institutional Shareholder Services,"Toronto, ON"
iMIS Consultant / Business Analyst,Bursting Silver,"Toronto, ON"
business systems analyst,Transpring canada Corp,"Mississauga, ON"
Logistics Analyst,"McCain Foods USA, Inc.","Toronto, ON"
Delivery and Product Analytics Analyst,Coast Capital Savings,"Surrey, BC"
"Senior Analyst, Business Intelligence & Insight",Specialty Health Network Inc.,"Mississauga, ON"
Business Operations Analyst,Nanometrics Inc,"Ottawa, ON"
"Health Care Business Analyst - Halifax, NS",NTT DATA,"Halifax, NS"
Business Analyst,FortNine,"Hybrid work in Montréal, QC"
Business Intelligence Specialist 7254-2512,Foilcon,"Toronto, ON"
"Business Analyst, Consultant - Risk and Regulatory Reporting",Cognizant Technology Solutions,"Toronto, ON"
regional development analyst,Mandi Guys Inc.,"London, ON"
Analyst II - Functional,Westlake Careers,"Vaughan, ON"
Reinsurance Analyst,RGA,"Montréal, QC"
database analyst,Budget T-Shirt Ltd.,"Coquitlam, BC"
Business Intelligence Analyst,Clio,"Hybrid work in Vancouver, BC"
"Senior Analyst, Business Renewables Centre Canada",The Pembina Institute,"Calgary, AB"
Sales and Service Optimization Analyst,AutoTrader.ca,"Hybrid work in Greater Toronto Area, ON"
Quality Assurance & Regulatory Affairs Analyst,Intellijoint Surgical,"Hybrid work in Kitchener, ON"
Project Controls Analyst,AECOM,"Hybrid work in Calgary, AB"
Senior Digital Analyst,War Room Holdings,"Hybrid work in Vancouver, BC"
Actuarial Analyst,Ontario Medical Association,"Hybrid work in Toronto, ON"
Machine Learning Analyst Instructor (Sessional),Red Deer Polytechnic,"Red Deer, AB"
ADMN O 24R - Senior Contract Performance Analyst – Closing date extended,BC Public Service,British Columbia
GIS Analyst,Louisiana-Pacific Corporation,"Dawson Creek, BC"
Analyst Strategic Sourcing 18 months contract,Sobeys,"Mississauga, ON"
Manager of Business Intelligence,Canadian Addiction Treatment Centers,"Markham, ON"
Business Systems Architect/Analyst,SS&C,"Hybrid work in Toronto, ON"
Systems Analyst 7257-2512,Foilcon,"Toronto, ON"
Portfolio Construction Analyst,Fidelity Investments,"Toronto, ON"
Sr. PMO Analyst,Sapiens,"Remote in Toronto, ON"
Carbon Capture Analyst,Carbon Engineering Ltd.,"Squamish, BC"
Operations Analyst,Draiver,"Brampton, ON"
IT Business Process Analyst,Ground Effects Ltd.,"Windsor, ON"
business systems analyst,D2SOL CANADA INC,"Ottawa, ON"
Non-Union – Business Intelligence IT Analyst,Lennox and Addington County General Hospital,"Greater Napanee, ON"
Systems Analyst 7257-2512,Foilcon,"Toronto, ON"
Portfolio Construction Analyst,Fidelity Investments,"Toronto, ON"
Sr. PMO Analyst,Sapiens,"Remote in Toronto, ON"
Carbon Capture Analyst,Carbon Engineering Ltd.,"Squamish, BC"
Operations Analyst,Draiver,"Brampton, ON"
Non-Union – Business Intelligence IT Analyst,Lennox and Addington County General Hospital,"Greater Napanee, ON"
IT Business Process Analyst,Ground Effects Ltd.,"Windsor, ON"
business systems analyst,D2SOL CANADA INC,"Ottawa, ON"
Business Development Analyst,NorLand Limited,"Burnaby, BC"
Information Privacy Analyst,University of Waterloo,"Waterloo, ON"
database analyst,Falcon Consultech Services Inc,"Calgary, AB"
sales analyst,LOAD KING TRANSPORT INC.,"Woodbridge, ON"
Production Inventory Analyst,IKO Industries Ltd.,"Brampton, ON"
ADP Workforce Now Analyst,Pursuit Collection,"Calgary, AB"
Business Systems Analyst,KF Aerospace,"Kelowna, BC"
"Senior Analyst, Business Renewables Centre Canada",The Pembina Institute,"Calgary, AB"
Sales and Service Optimization Analyst,AutoTrader.ca,"Hybrid work in Greater Toronto Area, ON"
Senior Digital Analyst,War Room Holdings,"Hybrid work in Vancouver, BC"
Quality Assurance & Regulatory Affairs Analyst,Intellijoint Surgical,"Hybrid work in Kitchener, ON"
Project Controls Analyst,AECOM,"Hybrid work in Calgary, AB"
Logistics and Inventory Analyst,Irving Shipbuilding,"Halifax, NS"
Business System Analyst,Virox Technologies Inc.,"Oakville, ON"
Real Estate Lease Analyst & Reporting Specialist,Altus Group,"Toronto, ON"
Senior Business Analyst,Healthcare of Ontario Pension Plan (HOOPP),"Toronto, ON"
BUSINESS ANALYST,SBX Solutions,"Brossard, QC"
Business Analyst- H/F/X,Société Générale,"Hybrid work in Montréal, QC"
"Business Analyst, Supply Chain",BRP,"Sherbrooke, QC"
information technology (IT) business analyst,Enterprise Analytics,"Remote in Georgetown, ON"
Ceridian Implementation - Data Analyst - 1 Year Contract,Trevor Frances Recruitment,"Hybrid work in Aurora, ON"
Business System Analyst with Capital Market with EOL(End of Life) experience 10+Year,epsilonsolutions,"Toronto, ON"
Actuarial Analyst,Ontario Medical Association,"Hybrid work in Toronto, ON"
Machine Learning Analyst Instructor (Sessional),Red Deer Polytechnic,"Red Deer, AB"
ADMN O 24R - Senior Contract Performance Analyst – Closing date extended,BC Public Service,British Columbia
GIS Analyst,Louisiana-Pacific Corporation,"Dawson Creek, BC"
Analyst Strategic Sourcing 18 months contract,Sobeys,"Mississauga, ON"
Manager of Business Intelligence,Canadian Addiction Treatment Centers,"Markham, ON"
Business Systems Architect/Analyst,SS&C,"Hybrid work in Toronto, ON"
Systems Analyst 7257-2512,Foilcon,"Toronto, ON"
Portfolio Construction Analyst,Fidelity Investments,"Toronto, ON"
Sr. PMO Analyst,Sapiens,"Remote in Toronto, ON"
Carbon Capture Analyst,Carbon Engineering Ltd.,"Squamish, BC"
Operations Analyst,Draiver,"Brampton, ON"
IT Business Process Analyst,Ground Effects Ltd.,"Windsor, ON"
business systems analyst,D2SOL CANADA INC,"Ottawa, ON"
Non-Union – Business Intelligence IT Analyst,Lennox and Addington County General Hospital,"Greater Napanee, ON"
Project Controls Analyst,AECOM,"Hybrid work in Calgary, AB"
Logistics and Inventory Analyst,Irving Shipbuilding,"Halifax, NS"
Business System Analyst,Virox Technologies Inc.,"Oakville, ON"
Real Estate Lease Analyst & Reporting Specialist,Altus Group,"Toronto, ON"
Senior Business Analyst,Healthcare of Ontario Pension Plan (HOOPP),"Toronto, ON"
BUSINESS ANALYST,SBX Solutions,"Brossard, QC"
Business Analyst- H/F/X,Société Générale,"Hybrid work in Montréal, QC"
"Business Analyst, Supply Chain",BRP,"Sherbrooke, QC"
Business System Analyst with Capital Market with EOL(End of Life) experience 10+Year,epsilonsolutions,"Toronto, ON"
information technology (IT) business analyst,Enterprise Analytics,"Remote in Georgetown, ON"
Ceridian Implementation - Data Analyst - 1 Year Contract,Trevor Frances Recruitment,"Hybrid work in Aurora, ON"
Part-Time Lecturer Master of Information Design and Data Visualization,Northeastern University,"Vancouver, BC"
Actuarial Analyst,Ontario Medical Association,"Hybrid work in Toronto, ON"
Machine Learning Analyst Instructor (Sessional),Red Deer Polytechnic,"Red Deer, AB"
Business Analyst - EDI,LBMX,"London, ON"
"Senior Analyst, Business Renewables Centre Canada",The Pembina Institute,"Calgary, AB"
Sales and Service Optimization Analyst,AutoTrader.ca,"Hybrid work in Greater Toronto Area, ON"
Senior Digital Analyst,War Room Holdings,"Hybrid work in Vancouver, BC"
Quality Assurance & Regulatory Affairs Analyst,Intellijoint Surgical,"Hybrid work in Kitchener, ON"
Project Controls Analyst,AECOM,"Hybrid work in Calgary, AB"
Logistics and Inventory Analyst,Irving Shipbuilding,"Halifax, NS"
Business System Analyst,Virox Technologies Inc.,"Oakville, ON"
Real Estate Lease Analyst & Reporting Specialist,Altus Group,"Toronto, ON"
Senior Business Analyst,Healthcare of Ontario Pension Plan (HOOPP),"Toronto, ON"
BUSINESS ANALYST,SBX Solutions,"Brossard, QC"
Business Analyst- H/F/X,Société Générale,"Hybrid work in Montréal, QC"
"Business Analyst, Supply Chain",BRP,"Sherbrooke, QC"
information technology (IT) business analyst,Enterprise Analytics,"Remote in Georgetown, ON"
Ceridian Implementation - Data Analyst - 1 Year Contract,Trevor Frances Recruitment,"Hybrid work in Aurora, ON"
Business System Analyst with Capital Market with EOL(End of Life) experience 10+Year,epsilonsolutions,"Toronto, ON"
Business Intelligence Analyst,Clio,"Hybrid work in Vancouver, BC"
"Senior Analyst, Business Renewables Centre Canada",The Pembina Institute,"Calgary, AB"
Senior Digital Analyst,War Room Holdings,"Hybrid work in Vancouver, BC"
Quality Assurance & Regulatory Affairs Analyst,Intellijoint Surgical,"Hybrid work in Kitchener, ON"
Project Controls Analyst,AECOM,"Hybrid work in Calgary, AB"
Logistics and Inventory Analyst,Irving Shipbuilding,"Halifax, NS"
Business System Analyst,Virox Technologies Inc.,"Oakville, ON"
Real Estate Lease Analyst & Reporting Specialist,Altus Group,"Toronto, ON"
Senior Business Analyst,Healthcare of Ontario Pension Plan (HOOPP),"Toronto, ON"
BUSINESS ANALYST,SBX Solutions,"Brossard, QC"
Business Analyst- H/F/X,Société Générale,"Hybrid work in Montréal, QC"
"Business Analyst, Supply Chain",BRP,"Sherbrooke, QC"
information technology (IT) business analyst,Enterprise Analytics,"Remote in Georgetown, ON"
Ceridian Implementation - Data Analyst - 1 Year Contract,Trevor Frances Recruitment,"Hybrid work in Aurora, ON"
Business System Analyst with Capital Market with EOL(End of Life) experience 10+Year,epsilonsolutions,"Toronto, ON"
"Senior Analyst, Business Renewables Centre Canada",The Pembina Institute,"Calgary, AB"
Sales and Service Optimization Analyst,AutoTrader.ca,"Hybrid work in Greater Toronto Area, ON"
Senior Digital Analyst,War Room Holdings,"Hybrid work in Vancouver, BC"
Quality Assurance & Regulatory Affairs Analyst,Intellijoint Surgical,"Hybrid work in Kitchener, ON"
Project Controls Analyst,AECOM,"Hybrid work in Calgary, AB"
Logistics and Inventory Analyst,Irving Shipbuilding,"Halifax, NS"
Business System Analyst,Virox Technologies Inc.,"Oakville, ON"
Real Estate Lease Analyst & Reporting Specialist,Altus Group,"Toronto, ON"
Senior Business Analyst,Healthcare of Ontario Pension Plan (HOOPP),"Toronto, ON"
BUSINESS ANALYST,SBX Solutions,"Brossard, QC"
Business Analyst- H/F/X,Société Générale,"Hybrid work in Montréal, QC"
"Business Analyst, Supply Chain",BRP,"Sherbrooke, QC"
information technology (IT) business analyst,Enterprise Analytics,"Remote in Georgetown, ON"
Ceridian Implementation - Data Analyst - 1 Year Contract,Trevor Frances Recruitment,"Hybrid work in Aurora, ON"
Business System Analyst with Capital Market with EOL(End of Life) experience 10+Year,epsilonsolutions,"Toronto, ON"
"Business Analyst, Consultant - Risk and Regulatory Reporting",Cognizant Technology Solutions,"Toronto, ON"
regional development analyst,Mandi Guys Inc.,"London, ON"
Analyst II - Functional,Westlake Careers,"Vaughan, ON"
Reinsurance Analyst,RGA,"Montréal, QC"
database analyst,Budget T-Shirt Ltd.,"Coquitlam, BC"
Business Intelligence Analyst,Clio,"Hybrid work in Vancouver, BC"
"Senior Analyst, Business Renewables Centre Canada",The Pembina Institute,"Calgary, AB"
Sales and Service Optimization Analyst,AutoTrader.ca,"Hybrid work in Greater Toronto Area, ON"
Senior Digital Analyst,War Room Holdings,"Hybrid work in Vancouver, BC"
Quality Assurance & Regulatory Affairs Analyst,Intellijoint Surgical,"Hybrid work in Kitchener, ON"
Project Controls Analyst,AECOM,"Hybrid work in Calgary, AB"
Logistics and Inventory Analyst,Irving Shipbuilding,"Halifax, NS"
Real Estate Lease Analyst & Reporting Specialist,Altus Group,"Toronto, ON"
Senior Business Analyst,Healthcare of Ontario Pension Plan (HOOPP),"Toronto, ON"
Business System Analyst,Virox Technologies Inc.,"Oakville, ON"
IT Business Process Analyst,Ground Effects Ltd.,"Windsor, ON"
business systems analyst,D2SOL CANADA INC,"Ottawa, ON"
Business Development Analyst,NorLand Limited,"Burnaby, BC"
Information Privacy Analyst,University of Waterloo,"Waterloo, ON"
database analyst,Falcon Consultech Services Inc,"Calgary, AB"
sales analyst,LOAD KING TRANSPORT INC.,"Woodbridge, ON"
Business Systems Analyst,KF Aerospace,"Kelowna, BC"
Production Inventory Analyst,IKO Industries Ltd.,"Brampton, ON"
business systems analyst,CLYDE RIVER CONSULTANTS INC.,"Mississauga, ON"
ERP Programmer Analyst (PeopleSoft),IBM,"Ottawa, ON"
